epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3147,3.44176,27.7617,1.00523,0,0,0,0,3.39483,30.4432,0.8734,0.000654321,0.000654321,0.000654321
2,116.94,3.43953,11.2437,0.98442,0.00097,0.28713,0.00821,0.00124,3.4164,25.967,0.87504,0.00129483,0.00129483,0.00129483
3,175.789,3.48949,10.0275,0.98353,0.47096,0.23762,0.21276,0.05831,2.59947,13.6558,0.85293,0.00190894,0.00190894,0.00190894
4,235.43,3.46774,7.4361,0.95443,0.19645,0.05575,0.0182,0.00463,1.94674,12.7622,0.56568,0.0018812,0.0018812,0.0018812
5,294.933,3.23903,6.29231,0.94149,0.46035,0.20792,0.1809,0.04616,2.89134,8.048,0.86266,0.0018416,0.0018416,0.0018416
6,354.971,3.21175,5.68789,0.9386,0.62627,0.19913,0.23151,0.05825,3.11866,9.54107,0.85323,0.001802,0.001802,0.001802
7,416.029,3.22036,4.87035,0.93882,0.57776,0.17822,0.23977,0.0609,2.60813,7.02901,0.84044,0.0017624,0.0017624,0.0017624
8,479.041,3.14164,4.33261,0.9343,0.44558,0.17511,0.15128,0.04712,2.85546,6.66384,0.83701,0.0017228,0.0017228,0.0017228
9,540.502,3.1761,4.31499,0.92061,0.26337,0.12871,0.05819,0.01698,3.12493,7.26799,0.8341,0.0016832,0.0016832,0.0016832
10,602.498,3.19708,3.70227,0.92978,0.32859,0.24752,0.1623,0.03562,2.91297,5.57349,0.81276,0.0016436,0.0016436,0.0016436
11,664.809,3.16557,3.45117,0.92765,0.51897,0.35644,0.3286,0.0933,2.73275,4.64678,0.83997,0.001604,0.001604,0.001604
12,727.211,3.05837,3.46005,0.9098,0.63547,0.33663,0.31865,0.08303,2.71808,4.26481,0.84044,0.0015644,0.0015644,0.0015644
13,789.932,2.9989,3.03955,0.90535,0.36028,0.34653,0.27947,0.07766,2.78701,4.11461,0.83942,0.0015248,0.0015248,0.0015248
14,852.691,3.02875,3.12097,0.89837,0.63042,0.25743,0.265,0.08347,2.53038,3.57724,0.83312,0.0014852,0.0014852,0.0014852
15,915.745,2.97331,2.91176,0.91458,0.36717,0.22772,0.18896,0.04067,3.01541,3.96415,0.83064,0.0014456,0.0014456,0.0014456
16,978.921,2.89781,2.70142,0.8796,0.4469,0.22772,0.19389,0.03758,2.85596,3.43309,0.82725,0.001406,0.001406,0.001406
17,1042.4,2.89136,2.68322,0.88933,0.51745,0.30693,0.28083,0.07377,2.65997,3.16,0.82517,0.0013664,0.0013664,0.0013664
18,1105.86,2.85007,2.6177,0.89709,0.47525,0.37624,0.33664,0.09769,2.40856,3.03878,0.8192,0.0013268,0.0013268,0.0013268
19,1169.42,2.87542,2.59643,0.90313,0.41074,0.21782,0.15702,0.05089,2.94003,3.33908,0.87358,0.0012872,0.0012872,0.0012872
20,1233.06,2.8913,2.53685,0.89815,0.59178,0.36634,0.35502,0.09166,2.87454,3.20345,0.83592,0.0012476,0.0012476,0.0012476
21,1299.5,2.78964,2.52177,0.89162,0.34181,0.25743,0.21846,0.06343,2.6193,3.30197,0.82869,0.001208,0.001208,0.001208
22,1366.53,2.93429,2.52088,0.89435,0.50037,0.39664,0.35831,0.12353,2.38221,2.55632,0.83449,0.0011684,0.0011684,0.0011684
23,1434.82,2.84995,2.4147,0.88034,0.66117,0.31683,0.37307,0.09121,2.73883,2.67706,0.82436,0.0011288,0.0011288,0.0011288
24,1504.95,2.7163,2.26653,0.8957,0.55711,0.29703,0.35254,0.10803,2.43888,2.47055,0.81762,0.0010892,0.0010892,0.0010892
25,1573.61,2.70044,2.25773,0.89196,0.469,0.39604,0.39583,0.12473,2.35635,2.45397,0.81467,0.0010496,0.0010496,0.0010496
26,1643.85,2.77844,2.2322,0.86845,0.3898,0.38614,0.31136,0.0907,2.39965,2.54419,0.80953,0.00101,0.00101,0.00101
27,1713.47,2.82887,2.23944,0.88382,0.59525,0.36634,0.39005,0.11875,2.48393,2.34732,0.81412,0.0009704,0.0009704,0.0009704
28,1783.39,2.72484,2.07052,0.86423,0.69206,0.35603,0.41273,0.1288,2.43531,2.44131,0.81737,0.0009308,0.0009308,0.0009308
29,1853.13,2.65787,2.04523,0.8729,0.41195,0.3399,0.31263,0.10606,2.31171,2.6494,0.81045,0.0008912,0.0008912,0.0008912
30,1924.07,2.63288,2.11127,0.88177,0.42827,0.35644,0.35675,0.10883,2.70491,2.39334,0.81569,0.0008516,0.0008516,0.0008516
31,1991.85,2.6582,2.11567,0.87814,0.68268,0.35644,0.44025,0.14489,2.60228,2.12457,0.81204,0.000812,0.000812,0.000812
